 ******* Program HYDRUS
 ******* 
 Welcome to HYDRUS-1D                                                    
 Date:   3. 5.    Time:  12:21:56
 Units: L = cm   , T = days , M = mg   


    n      depth     THr       THs       hs       Ks        Ks/KsTop     Beta      Ah        AK        ATh
   67      7.92     0.078     0.350       0.0   0.300E+02     1.000     0.000     1.000     1.000     1.000
   68      8.04     0.078     0.350       0.0   0.300E+02     1.000     0.000     1.000     1.000     1.000
   69      8.16     0.078     0.350       0.0   0.300E+02     1.000     0.000     1.000     1.000     1.000
   70      8.28     0.078     0.350       0.0   0.300E+02     1.000     0.000     1.000     1.000     1.000
   71      8.40     0.078     0.350       0.0   0.300E+02     1.000     0.000     1.000     1.000     1.000
   72      8.52     0.078     0.350       0.0   0.300E+02     1.000     0.000     1.000     1.000     1.000
   73      8.64     0.078     0.350       0.0   0.300E+02     1.000     0.000     1.000     1.000     1.000
   74      8.76     0.078     0.350       0.0   0.300E+02     1.000     0.000     1.000     1.000     1.000
   75      8.88     0.078     0.350       0.0   0.300E+02     1.000     0.000     1.000     1.000     1.000
   76      9.00     0.078     0.350       0.0   0.300E+02     1.000     0.000     1.000     1.000     1.000
   77      9.12     0.078     0.350       0.0   0.300E+02     1.000     0.000     1.000     1.000     1.000
   78      9.24     0.078     0.350       0.0   0.300E+02     1.000     0.000     1.000     1.000     1.000
   79      9.36     0.078     0.350       0.0   0.300E+02     1.000     0.000     1.000     1.000     1.000
   80      9.48     0.078     0.350       0.0   0.300E+02     1.000     0.000     1.000     1.000     1.000
   81      9.60     0.078     0.350       0.0   0.300E+02     1.000     0.000     1.000     1.000     1.000
   82      9.72     0.078     0.350       0.0   0.300E+02     1.000     0.000     1.000     1.000     1.000
   83      9.84     0.078     0.350       0.0   0.300E+02     1.000     0.000     1.000     1.000     1.000
   84      9.96     0.078     0.350       0.0   0.300E+02     1.000     0.000     1.000     1.000     1.000
   85     10.08     0.078     0.350       0.0   0.300E+02     1.000     0.000     1.000     1.000     1.000
   86     10.20     0.078     0.350       0.0   0.300E+02     1.000     0.000     1.000     1.000     1.000
   87     10.32     0.078     0.350       0.0   0.300E+02     1.000     0.000     1.000     1.000     1.000
   88     10.44     0.078     0.350       0.0   0.300E+02     1.000     0.000     1.000     1.000     1.000
   89     10.56     0.078     0.350       0.0   0.300E+02     1.000     0.000     1.000     1.000     1.000
   90     10.68     0.078     0.350       0.0   0.300E+02     1.000     0.000     1.000     1.000     1.000
   91     10.80     0.078     0.350       0.0   0.300E+02     1.000     0.000     1.000     1.000     1.000
   92     10.92     0.078     0.350       0.0   0.300E+02     1.000     0.000     1.000     1.000     1.000
   93     11.04     0.078     0.350       0.0   0.300E+02     1.000     0.000     1.000     1.000     1.000
   94     11.16     0.078     0.350       0.0   0.300E+02     1.000     0.000     1.000     1.000     1.000
   95     11.28     0.078     0.350       0.0   0.300E+02     1.000     0.000     1.000     1.000     1.000
   96     11.40     0.078     0.350       0.0   0.300E+02     1.000     0.000     1.000     1.000     1.000
   97     11.52     0.078     0.350       0.0   0.300E+02     1.000     0.000     1.000     1.000     1.000
   98     11.64     0.078     0.350       0.0   0.300E+02     1.000     0.000     1.000     1.000     1.000
   99     11.76     0.078     0.350       0.0   0.300E+02     1.000     0.000     1.000     1.000     1.000
  100     11.88     0.078     0.350       0.0   0.300E+02     1.000     0.000     1.000     1.000     1.000
  101     12.00     0.078     0.350       0.0   0.300E+02     1.000     0.000     1.000     1.000     1.000
end
