 ******* Program HYDRUS
 ******* 
 Welcome to HYDRUS-1D                                                    
 Date:   3. 5.    Time:  10:58:48
 Units: L = cm   , T = days , M = mmol 


    TLevel      Time          dt      Iter    ItCum  KodT  KodB  Convergency
       97  0.1204262E+02  0.10604E-01    2      201    -4    -5     T
       98  0.1205641E+02  0.13786E-01    2      203    -4    -5     T
       99  0.1207433E+02  0.17922E-01    2      205    -4    -5     T
      100  0.1209763E+02  0.23298E-01    3      208    -4    -5     T
      101  0.1212791E+02  0.30287E-01    3      211    -4    -5     T
      102  0.1216729E+02  0.39374E-01    3      214    -4    -5     T
      103  0.1221847E+02  0.51186E-01    3      217    -4    -5     T
      104  0.1228501E+02  0.66542E-01    4      221    -4    -5     T
      105  0.1235156E+02  0.66542E-01    3      224    -4    -5     T
      106  0.1244419E+02  0.92635E-01    4      228    -4    -5     T
      107  0.1253683E+02  0.92635E-01    3      231    -4    -5     T
      108  0.1265262E+02  0.11579E+00    3      234    -4    -5     T
      109  0.1282631E+02  0.17369E+00    4      238    -4    -5     T
      110  0.1300000E+02  0.17369E+00    4      242    -4    -5     T
      111  0.1314286E+02  0.14286E+00    4      246    -4    -5     T
      112  0.1328571E+02  0.14286E+00    3      249    -4    -5     T
      113  0.1346429E+02  0.17857E+00    3      252    -4    -5     T
      114  0.1373214E+02  0.26786E+00    3      255    -4    -5     T
      115  0.1400000E+02  0.26786E+00    2      257    -4    -5     T
      116  0.1400100E+02  0.10000E-02    4      261    -4    -5     T
      117  0.1400200E+02  0.10000E-02    2      263    -4    -5     T
      118  0.1400330E+02  0.13000E-02    2      265    -4    -5     T
      119  0.1400499E+02  0.16900E-02    2      267    -4    -5     T
      120  0.1400719E+02  0.21970E-02    2      269    -4    -5     T
      121  0.1401004E+02  0.28561E-02    2      271    -4    -5     T
      122  0.1401376E+02  0.37129E-02    2      273    -4    -5     T
      123  0.1401858E+02  0.48268E-02    2      275    -4    -5     T
      124  0.1402486E+02  0.62749E-02    3      278    -4    -5     T
      125  0.1403301E+02  0.81573E-02    4      282    -4    -5     T
      126  0.1404117E+02  0.81573E-02    2      284    -4    -5     T
      127  0.1405178E+02  0.10604E-01    4      288    -4    -5     T
      128  0.1406238E+02  0.10604E-01    3      291    -4    -5     T
      129  0.1407617E+02  0.13786E-01    3      294    -4    -5     T
      130  0.1409409E+02  0.17922E-01    4      298    -4    -5     T
      131  0.1411201E+02  0.17922E-01    4      302    -4    -5     T
      132  0.1412993E+02  0.17922E-01    3      305    -4    -5     T
      133  0.1415323E+02  0.23298E-01    4      309    -4    -5     T
      134  0.1417653E+02  0.23298E-01    3      312    -4    -5     T
      135  0.1420682E+02  0.30287E-01    4      316    -4    -5     T
      136  0.1423710E+02  0.30287E-01    3      319    -4    -5     T
      137  0.1427648E+02  0.39374E-01    4      323    -4    -5     T
      138  0.1431585E+02  0.39374E-01    4      327    -4    -5     T
      139  0.1435522E+02  0.39374E-01    3      330    -4    -5     T
      140  0.1440641E+02  0.51186E-01    4      334    -4    -5     T
      141  0.1445760E+02  0.51186E-01    4      338    -4    -5     T
      142  0.1450878E+02  0.51186E-01    4      342    -4    -5     T
      143  0.1455790E+02  0.49122E-01    3      345    -4    -5     T
      144  0.1462106E+02  0.63157E-01    4      349    -4    -5     T
      145  0.1468422E+02  0.63157E-01    4      353    -4    -5     T
      146  0.1474737E+02  0.63157E-01    3      356    -4    -5     T
      147  0.1483158E+02  0.84209E-01    4      360    -4    -5     T
      148  0.1491579E+02  0.84209E-01    4      364    -4    -5     T
      149  0.1500000E+02  0.84209E-01    4      368    -4    -5     T
      150  0.1500100E+02  0.10000E-02    2      370    -4    -5     T
      151  0.1500230E+02  0.13000E-02    2      372    -4    -5     T
      152  0.1500399E+02  0.16900E-02    2      374    -4    -5     T
      153  0.1500619E+02  0.21970E-02    2      376    -4    -5     T
      154  0.1500904E+02  0.28561E-02    2      378    -4    -5     T
      155  0.1501276E+02  0.37129E-02    2      380    -4    -5     T
      156  0.1501758E+02  0.48268E-02    2      382    -4    -5     T
      157  0.1502386E+02  0.62749E-02    2      384    -4    -5     T
      158  0.1503201E+02  0.81573E-02    2      386    -4    -5     T
      159  0.1504262E+02  0.10604E-01    2      388    -4    -5     T
      160  0.1505641E+02  0.13786E-01    2      390    -4    -5     T
      161  0.1507433E+02  0.17922E-01    2      392    -4    -5     T
      162  0.1509763E+02  0.23298E-01    2      394    -4    -5     T
      163  0.1512791E+02  0.30287E-01    2      396    -4    -5     T
      164  0.1516729E+02  0.39374E-01    2      398    -4    -5     T
      165  0.1521847E+02  0.51186E-01    3      401    -4    -5     T
      166  0.1528501E+02  0.66542E-01    3      404    -4    -5     T
      167  0.1537439E+02  0.89373E-01    3      407    -4    -5     T
      168  0.1547866E+02  0.10427E+00    3      410    -4    -5     T
      169  0.1560899E+02  0.13034E+00    4      414    -4    -5     T
      170  0.1573933E+02  0.13034E+00    3      417    -4    -5     T
      171  0.1600000E+02  0.26067E+00    5      422    -4    -5     T
      172  0.1600100E+02  0.10000E-02    2      424    -4    -5     T
      173  0.1600230E+02  0.13000E-02    2      426    -4    -5     T
      174  0.1600399E+02  0.16900E-02    2      428    -4    -5     T
      175  0.1600619E+02  0.21970E-02    2      430    -4    -5     T
      176  0.1600904E+02  0.28561E-02    2      432    -4    -5     T
      177  0.1601276E+02  0.37129E-02    2      434    -4    -5     T
      178  0.1601758E+02  0.48268E-02    2      436    -4    -5     T
      179  0.1602386E+02  0.62749E-02    2      438    -4    -5     T
      180  0.1603201E+02  0.81573E-02    2      440    -4    -5     T
      181  0.1604262E+02  0.10604E-01    2      442    -4    -5     T
      182  0.1605641E+02  0.13786E-01    2      444    -4    -5     T
      183  0.1607433E+02  0.17922E-01    2      446    -4    -5     T
      184  0.1609762E+02  0.23298E-01    2      448    -4    -5     T
      185  0.1612791E+02  0.30287E-01    2      450    -4    -5     T
      186  0.1616729E+02  0.39374E-01    2      452    -4    -5     T
      187  0.1621847E+02  0.51186E-01    2      454    -4    -5     T
      188  0.1628501E+02  0.66542E-01    2      456    -4    -5     T
      189  0.1637439E+02  0.89373E-01    2      458    -4    -5     T
      190  0.1647866E+02  0.10427E+00    2      460    -4    -5     T
      191  0.1660899E+02  0.13034E+00    2      462    -4    -5     T
      192  0.1680450E+02  0.19550E+00    3      465    -4    -5     T
      193  0.1700000E+02  0.19550E+00    3      468    -4    -5     T
      194  0.1725000E+02  0.25000E+00    3      471    -4    -5     T
      195  0.1762500E+02  0.37500E+00    4      475    -4    -5     T
      196  0.1800000E+02  0.37500E+00    3      478    -4    -5     T
      197  0.1800100E+02  0.10000E-02    2      480    -4    -5     T
      198  0.1800230E+02  0.13000E-02    2      482    -4    -5     T
      199  0.1800399E+02  0.16900E-02    2      484    -4    -5     T
      200  0.1800619E+02  0.21970E-02    2      486    -4    -5     T
      201  0.1800904E+02  0.28561E-02    2      488    -4    -5     T
      202  0.1801276E+02  0.37129E-02    2      490    -4    -5     T
      203  0.1801758E+02  0.48268E-02    2      492    -4    -5     T
      204  0.1802386E+02  0.62749E-02    2      494    -4    -5     T
      205  0.1803201E+02  0.81573E-02    2      496    -4    -5     T
      206  0.1804262E+02  0.10604E-01    2      498    -4    -5     T
      207  0.1805641E+02  0.13786E-01    2      500    -4    -5     T
      208  0.1807433E+02  0.17922E-01    2      502    -4    -5     T
      209  0.1809763E+02  0.23298E-01    2      504    -4    -5     T
      210  0.1812791E+02  0.30287E-01    2      506    -4    -5     T
