 ******* Program HYDRUS
 ******* 
 Welcome to HYDRUS-1D                                                    
 Date:   3. 5.    Time:  10:58:48
 Units: L = cm   , T = days , M = mmol 



                               Node( 91)

         time         h        theta    Temp   
         15.0128     -100.72  0.2420   20.000
         15.0176     -100.73  0.2420   20.000
         15.0239     -100.73  0.2420   20.000
         15.0320     -100.73  0.2420   20.000
         15.0426     -100.73  0.2420   20.000
         15.0564     -100.73  0.2420   20.000
         15.0743     -100.74  0.2420   20.000
         15.0976     -100.74  0.2420   20.000
         15.1279     -100.75  0.2420   20.000
         15.1673     -100.76  0.2420   20.000
         15.2185     -100.77  0.2420   20.000
         15.2850     -100.79  0.2420   20.000
         15.3744     -100.81  0.2420   20.000
         15.4787     -100.84  0.2420   20.000
         15.6090     -100.87  0.2419   20.000
         15.7393     -100.90  0.2419   20.000
         16.0000     -100.97  0.2419   20.000
         16.0010     -100.97  0.2419   20.000
         16.0023     -100.97  0.2419   20.000
         16.0040     -100.97  0.2419   20.000
         16.0062     -100.97  0.2419   20.000
         16.0090     -100.97  0.2419   20.000
         16.0128     -100.98  0.2419   20.000
         16.0176     -100.98  0.2419   20.000
         16.0239     -100.98  0.2419   20.000
         16.0320     -100.98  0.2419   20.000
         16.0426     -100.98  0.2419   20.000
         16.0564     -100.99  0.2419   20.000
         16.0743     -100.99  0.2418   20.000
         16.0976     -101.00  0.2418   20.000
         16.1279     -101.01  0.2418   20.000
         16.1673     -101.02  0.2418   20.000
         16.2185     -101.03  0.2418   20.000
         16.2850     -101.05  0.2418   20.000
         16.3744     -101.07  0.2418   20.000
         16.4787     -101.10  0.2418   20.000
         16.6090     -101.14  0.2417   20.000
         16.8045     -101.18  0.2417   20.000
         17.0000     -101.22  0.2417   20.000
         17.2500     -101.23  0.2417   20.000
         17.6250     -101.05  0.2418   20.000
         18.0000     -100.48  0.2422   20.000
         18.0010     -100.49  0.2422   20.000
         18.0023     -100.49  0.2422   20.000
         18.0040     -100.49  0.2422   20.000
         18.0062     -100.48  0.2422   20.000
         18.0090     -100.48  0.2422   20.000
         18.0128     -100.48  0.2422   20.000
         18.0176     -100.47  0.2422   20.000
         18.0239     -100.46  0.2422   20.000
         18.0320     -100.45  0.2422   20.000
         18.0426     -100.43  0.2423   20.000
         18.0564     -100.41  0.2423   20.000
         18.0743     -100.38  0.2423   20.000
         18.0976     -100.34  0.2423   20.000
         18.1279     -100.28  0.2424   20.000
         18.1673     -100.20  0.2424   20.000
         18.2185     -100.09  0.2425   20.000
         18.2850      -99.94  0.2426   20.000
         18.3744      -99.69  0.2428   20.000
         18.4787      -99.36  0.2430   20.000
         18.6090      -98.85  0.2434   20.000
         18.8045      -97.84  0.2442   20.000
         19.0000      -96.55  0.2451   20.000
         19.0010      -96.55  0.2451   20.000
         19.0023      -96.54  0.2451   20.000
         19.0040      -96.53  0.2451   20.000
         19.0062      -96.51  0.2451   20.000
         19.0090      -96.49  0.2452   20.000
         19.0128      -96.47  0.2452   20.000
         19.0176      -96.44  0.2452   20.000
         19.0239      -96.39  0.2452   20.000
         19.0320      -96.34  0.2453   20.000
         19.0426      -96.27  0.2453   20.000
         19.0564      -96.17  0.2454   20.000
         19.0743      -96.05  0.2455   20.000
         19.0976      -95.88  0.2456   20.000
