

   Time         sum(rTop)     sum(rRoot)    sum(vTop)     sum(vRoot)     sum(vBot)    hTop       hRoot      hBot      A-level
    [T]           [L]           [L]           [L]           [L]            [L]        [L]         [L]       [L] 

    48.00000 -0.159540E+02  0.000000E+00 -0.159540E+02  0.000000E+00 -0.135380E+02   -103.609      0.000    -61.152      48
    49.00000 -0.159330E+02  0.000000E+00 -0.159330E+02  0.000000E+00 -0.136816E+02   -106.668      0.000    -62.505      49
    50.00000 -0.159150E+02  0.000000E+00 -0.159150E+02  0.000000E+00 -0.138186E+02   -108.550      0.000    -63.844      50
    51.00000 -0.159090E+02  0.000000E+00 -0.159090E+02  0.000000E+00 -0.139493E+02   -108.032      0.000    -65.140      51
    52.00000 -0.158560E+02  0.000000E+00 -0.158560E+02  0.000000E+00 -0.140738E+02   -120.107      0.000    -66.409      52
    53.00000 -0.158040E+02  0.000000E+00 -0.158040E+02  0.000000E+00 -0.141923E+02   -127.466      0.000    -67.635      53
    54.00000 -0.157990E+02  0.000000E+00 -0.157990E+02  0.000000E+00 -0.143050E+02   -119.889      0.000    -68.834      54
    55.00000 -0.157840E+02  0.000000E+00 -0.157840E+02  0.000000E+00 -0.144120E+02   -121.367      0.000    -69.988      55
    56.00000 -0.157470E+02  0.000000E+00 -0.157470E+02  0.000000E+00 -0.145135E+02   -128.892      0.000    -71.115      56
    57.00000 -0.157170E+02  0.000000E+00 -0.157170E+02  0.000000E+00 -0.146098E+02   -131.503      0.000    -72.193      57
    58.00000 -0.161640E+02  0.000000E+00 -0.161640E+02  0.000000E+00 -0.147031E+02    -63.227      0.000    -73.261      58
    59.00000 -0.182040E+02  0.000000E+00 -0.182040E+02  0.000000E+00 -0.147914E+02    -24.442      0.000    -74.290      59
    60.00000 -0.184720E+02  0.000000E+00 -0.184720E+02  0.000000E+00 -0.148747E+02    -44.568      0.000    -75.277      60
    61.00000 -0.199120E+02  0.000000E+00 -0.199120E+02  0.000000E+00 -0.149539E+02    -26.749      0.000    -76.207      61
    62.00000 -0.203550E+02  0.000000E+00 -0.203550E+02  0.000000E+00 -0.150319E+02    -38.110      0.000    -76.184      62
    63.00000 -0.220100E+02  0.000000E+00 -0.220100E+02  0.000000E+00 -0.151153E+02    -23.930      0.000    -73.239      63
    64.00000 -0.220560E+02  0.000000E+00 -0.220560E+02  0.000000E+00 -0.152297E+02    -46.203      0.000    -63.474      64
    65.00000 -0.221960E+02  0.000000E+00 -0.221960E+02  0.000000E+00 -0.154370E+02    -49.490      0.000    -49.932      65
    66.00000 -0.221940E+02  0.000000E+00 -0.221940E+02  0.000000E+00 -0.157892E+02    -59.056      0.000    -43.785      66
    67.00000 -0.221810E+02  0.000000E+00 -0.221810E+02  0.000000E+00 -0.162032E+02    -64.969      0.000    -42.499      67
    68.00000 -0.221590E+02  0.000000E+00 -0.221590E+02  0.000000E+00 -0.166136E+02    -70.333      0.000    -42.976      68
    69.00000 -0.220980E+02  0.000000E+00 -0.220980E+02  0.000000E+00 -0.169857E+02    -78.074      0.000    -44.236      69
    70.00000 -0.220800E+02  0.000000E+00 -0.220800E+02  0.000000E+00 -0.173227E+02    -79.454      0.000    -45.744      70
    71.00000 -0.220540E+02  0.000000E+00 -0.220540E+02  0.000000E+00 -0.176249E+02    -83.238      0.000    -47.223      71
    72.00000 -0.220420E+02  0.000000E+00 -0.220420E+02  0.000000E+00 -0.179047E+02    -84.734      0.000    -48.942      72
    73.00000 -0.220050E+02  0.000000E+00 -0.220050E+02  0.000000E+00 -0.181649E+02    -90.396      0.000    -50.654      73
    74.00000 -0.219750E+02  0.000000E+00 -0.219750E+02  0.000000E+00 -0.184058E+02    -93.309      0.000    -52.371      74
    75.00000 -0.219460E+02  0.000000E+00 -0.219460E+02  0.000000E+00 -0.186280E+02    -96.432      0.000    -54.032      75
    76.00000 -0.219130E+02  0.000000E+00 -0.219130E+02  0.000000E+00 -0.188324E+02   -100.172      0.000    -55.629      76
    77.00000 -0.232820E+02  0.000000E+00 -0.232820E+02  0.000000E+00 -0.190272E+02    -32.013      0.000    -57.194      77
    78.00000 -0.234020E+02  0.000000E+00 -0.234020E+02  0.000000E+00 -0.192048E+02    -53.422      0.000    -58.653      78
    79.00000 -0.233620E+02  0.000000E+00 -0.233620E+02  0.000000E+00 -0.193667E+02    -67.336      0.000    -59.740      79
    80.00000 -0.233170E+02  0.000000E+00 -0.233170E+02  0.000000E+00 -0.195216E+02    -75.300      0.000    -60.256      80
    81.00000 -0.234120E+02  0.000000E+00 -0.234120E+02  0.000000E+00 -0.196757E+02    -68.628      0.000    -60.367      81
