 ******* Program HYDRUS
 ******* 
 Welcome to HYDRUS-1D                                                    
 Date:   3. 5.    Time:  12:21:56
 Units: L = cm   , T = days , M = mg   



                               Node( 10)                                 Node( 26)                                 Node( 51)                                 Node( 85)                                 Node(101)

         time         h        theta    Temp      Conc           h        theta    Temp      Conc           h        theta    Temp      Conc           h        theta    Temp      Conc           h        theta    Temp      Conc     
          1.0200        0.00  0.3500   20.000  0.1958E-05          0.00  0.3500   20.000  0.9635E-06          0.00  0.3500   20.000  0.3155E-10          0.00  0.3500   20.000  0.2063E-19          0.00  0.3500   20.000  0.7769E-24
          1.0934        0.00  0.3500   20.000  0.1662E-05          0.00  0.3500   20.000  0.1232E-05          0.00  0.3500   20.000  0.9203E-10          0.00  0.3500   20.000  0.1204E-18          0.00  0.3500   20.000  0.5601E-23
          1.1668        0.00  0.3500   20.000  0.1405E-05          0.00  0.3500   20.000  0.1495E-05          0.00  0.3500   20.000  0.2442E-09          0.00  0.3500   20.000  0.6368E-18          0.00  0.3500   20.000  0.3663E-22
          1.2402        0.00  0.3500   20.000  0.1185E-05          0.00  0.3500   20.000  0.1737E-05          0.00  0.3500   20.000  0.5945E-09          0.00  0.3500   20.000  0.3078E-17          0.00  0.3500   20.000  0.2190E-21
          1.3136        0.00  0.3500   20.000  0.9969E-06          0.00  0.3500   20.000  0.1944E-05          0.00  0.3500   20.000  0.1337E-08          0.00  0.3500   20.000  0.1369E-16          0.00  0.3500   20.000  0.1204E-20
          1.3870        0.00  0.3500   20.000  0.8373E-06          0.00  0.3500   20.000  0.2111E-05          0.00  0.3500   20.000  0.2797E-08          0.00  0.3500   20.000  0.5626E-16          0.00  0.3500   20.000  0.6121E-20
          1.4604        0.00  0.3500   20.000  0.7025E-06          0.00  0.3500   20.000  0.2232E-05          0.00  0.3500   20.000  0.5475E-08          0.00  0.3500   20.000  0.2149E-15          0.00  0.3500   20.000  0.2892E-19
          1.5338        0.00  0.3500   20.000  0.5888E-06          0.00  0.3500   20.000  0.2307E-05          0.00  0.3500   20.000  0.1008E-07          0.00  0.3500   20.000  0.7663E-15          0.00  0.3500   20.000  0.1276E-18
          1.6072        0.00  0.3500   20.000  0.4932E-06          0.00  0.3500   20.000  0.2339E-05          0.00  0.3500   20.000  0.1756E-07          0.00  0.3500   20.000  0.2560E-14          0.00  0.3500   20.000  0.5269E-18
          1.6806        0.00  0.3500   20.000  0.4130E-06          0.00  0.3500   20.000  0.2332E-05          0.00  0.3500   20.000  0.2904E-07          0.00  0.3500   20.000  0.8039E-14          0.00  0.3500   20.000  0.2046E-17
