

   Time         sum(rTop)     sum(rRoot)    sum(vTop)     sum(vRoot)     sum(vBot)    hTop       hRoot      hBot      A-level
    [T]           [L]           [L]           [L]           [L]            [L]        [L]         [L]       [L] 

    48.00000 -0.159540E+02  0.000000E+00 -0.159540E+02  0.000000E+00 -0.135685E+02   -104.032      0.000    -61.387      48
    49.00000 -0.159330E+02  0.000000E+00 -0.159330E+02  0.000000E+00 -0.137109E+02   -107.089      0.000    -62.730      49
    50.00000 -0.159150E+02  0.000000E+00 -0.159150E+02  0.000000E+00 -0.138469E+02   -108.959      0.000    -64.074      50
    51.00000 -0.159090E+02  0.000000E+00 -0.159090E+02  0.000000E+00 -0.139764E+02   -108.411      0.000    -65.366      51
    52.00000 -0.158560E+02  0.000000E+00 -0.158560E+02  0.000000E+00 -0.140999E+02   -120.573      0.000    -66.632      52
    53.00000 -0.158040E+02  0.000000E+00 -0.158040E+02  0.000000E+00 -0.142173E+02   -127.982      0.000    -67.853      53
    54.00000 -0.157990E+02  0.000000E+00 -0.157990E+02  0.000000E+00 -0.143289E+02   -120.270      0.000    -69.047      54
    55.00000 -0.157840E+02  0.000000E+00 -0.157840E+02  0.000000E+00 -0.144349E+02   -121.765      0.000    -70.195      55
    56.00000 -0.157470E+02  0.000000E+00 -0.157470E+02  0.000000E+00 -0.145355E+02   -129.362      0.000    -71.316      56
    57.00000 -0.157170E+02  0.000000E+00 -0.157170E+02  0.000000E+00 -0.146308E+02   -131.952      0.000    -72.387      57
    58.00000 -0.161640E+02  0.000000E+00 -0.161640E+02  0.000000E+00 -0.147232E+02    -63.311      0.000    -73.448      58
    59.00000 -0.182040E+02  0.000000E+00 -0.182040E+02  0.000000E+00 -0.148106E+02    -24.446      0.000    -74.469      59
    60.00000 -0.184720E+02  0.000000E+00 -0.184720E+02  0.000000E+00 -0.148930E+02    -44.586      0.000    -75.450      60
    61.00000 -0.199120E+02  0.000000E+00 -0.199120E+02  0.000000E+00 -0.149717E+02    -26.752      0.000    -76.404      61
    62.00000 -0.203550E+02  0.000000E+00 -0.203550E+02  0.000000E+00 -0.150493E+02    -38.117      0.000    -76.397      62
    63.00000 -0.220100E+02  0.000000E+00 -0.220100E+02  0.000000E+00 -0.151318E+02    -23.933      0.000    -73.487      63
    64.00000 -0.220560E+02  0.000000E+00 -0.220560E+02  0.000000E+00 -0.152448E+02    -46.210      0.000    -63.808      64
    65.00000 -0.221960E+02  0.000000E+00 -0.221960E+02  0.000000E+00 -0.154492E+02    -49.495      0.000    -50.192      65
    66.00000 -0.221940E+02  0.000000E+00 -0.221940E+02  0.000000E+00 -0.157977E+02    -59.064      0.000    -43.918      66
    67.00000 -0.221810E+02  0.000000E+00 -0.221810E+02  0.000000E+00 -0.162093E+02    -64.978      0.000    -42.582      67
    68.00000 -0.221590E+02  0.000000E+00 -0.221590E+02  0.000000E+00 -0.166183E+02    -70.343      0.000    -43.033      68
    69.00000 -0.220980E+02  0.000000E+00 -0.220980E+02  0.000000E+00 -0.170004E+02    -78.433      0.000    -44.276      69
    70.00000 -0.220800E+02  0.000000E+00 -0.220800E+02  0.000000E+00 -0.173463E+02    -79.764      0.000    -45.810      70
    71.00000 -0.220540E+02  0.000000E+00 -0.220540E+02  0.000000E+00 -0.176550E+02    -83.594      0.000    -47.334      71
    72.00000 -0.220420E+02  0.000000E+00 -0.220420E+02  0.000000E+00 -0.179381E+02    -85.222      0.000    -49.052      72
    73.00000 -0.220050E+02  0.000000E+00 -0.220050E+02  0.000000E+00 -0.182016E+02    -90.922      0.000    -50.806      73
    74.00000 -0.219750E+02  0.000000E+00 -0.219750E+02  0.000000E+00 -0.184406E+02    -93.877      0.000    -52.533      74
    75.00000 -0.219460E+02  0.000000E+00 -0.219460E+02  0.000000E+00 -0.186609E+02    -96.907      0.000    -54.205      75
    76.00000 -0.219130E+02  0.000000E+00 -0.219130E+02  0.000000E+00 -0.188633E+02   -100.673      0.000    -55.803      76
    77.00000 -0.232820E+02  0.000000E+00 -0.232820E+02  0.000000E+00 -0.190562E+02    -32.058      0.000    -57.369      77
    78.00000 -0.234020E+02  0.000000E+00 -0.234020E+02  0.000000E+00 -0.192318E+02    -53.506      0.000    -58.822      78
